ticker,estrategia,date,price,action,signal_compra,signal_venta,had_position,entry_price,stop_loss,take_profit,trailing,reason,regime,mode,RSI,MACD,MACD_SIGNAL,ADX,PLUS_DI,MINUS_DI,ATR,STOCH_K,STOCH_D,REL_VOL,EMA20,EMA50,EMA200
KO,trend_follower,2025-12-04,69.5201,hold,False,False,False,,,,,,range,,50.1536,0.6625,0.8597,24.8059,20.079,20.4424,0.9947,19.9684,39.6538,1.0398,69.8554,68.6557,67.0011
KO,trend_follower,2025-12-05,69.076,hold,False,False,False,,,,,,range,,46.971,0.5228,0.7923,23.7074,18.8694,22.7968,0.9828,14.4238,24.0049,0.8254,69.7812,68.6722,67.0217
KO,trend_follower,2025-12-08,69.3227,hold,False,False,False,,,,,,range,,48.9107,0.4271,0.7193,23.113,17.6558,24.0767,0.9754,13.2135,15.8686,1.0728,69.7375,68.6977,67.0446
KO,trend_follower,2025-12-09,69.1648,hold,False,False,False,,,,,,range,,47.7079,0.3347,0.6424,22.1939,18.4525,22.6656,0.9621,14.6807,14.106,0.7907,69.683,68.716,67.0657
KO,trend_follower,2025-12-10,69.2832,hold,False,False,False,,,,,,range,,48.7264,0.2679,0.5675,21.4014,17.4216,21.7717,0.9462,20.2729,16.0557,1.7385,69.6449,68.7382,67.0878
KO,trend_follower,2025-12-11,68.1977,hold,False,True,False,,,,,Cierre bajo EMA50,range,,40.8694,0.1259,0.4792,21.7355,15.1174,25.7837,1.0126,15.4545,16.8027,1.3131,69.5071,68.717,67.0988
KO,trend_follower,2025-12-12,69.5891,hold,False,False,False,,,,,,range,,51.6349,0.1242,0.4082,22.0457,13.5164,23.0531,1.0516,23.6033,19.7769,1.0343,69.5149,68.7512,67.1236
KO,trend_follower,2025-12-15,70.0332,hold,False,False,False,,,,,,range,,54.4831,0.1569,0.3579,21.2405,17.3191,21.5011,1.047,34.2233,24.427,1.0305,69.5643,68.8015,67.1526
KO,trend_follower,2025-12-16,69.4411,hold,False,False,False,,,,,,range,,50.2352,0.1335,0.313,20.4928,16.1702,20.0748,1.0413,44.4175,34.0814,0.9525,69.5525,68.8266,67.1753
KO,trend_follower,2025-12-17,69.7372,hold,False,True,False,,,,,ADX < 20 (pérdida de tendencia),range,,52.2403,0.1373,0.2779,19.8113,15.4817,19.2899,1.0099,45.6311,41.424,0.748,69.5701,68.8623,67.2008
KO,trend_follower,2025-12-18,69.4312,hold,False,True,False,,,,,ADX < 20 (pérdida de tendencia),range,,49.9985,0.1143,0.2452,19.3653,14.7817,19.4225,0.9822,40.6958,43.5814,0.8421,69.5569,68.8846,67.223
KO,trend_follower,2025-12-19,69.1352,hold,False,True,False,,,,,ADX < 20 (pérdida de tendencia),range,,47.8582,0.0713,0.2104,19.1405,13.9821,19.3952,0.9642,41.9768,42.7679,1.8918,69.5167,68.8944,67.242
KO,trend_follower,2025-12-22,69.2832,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,49.033,0.0486,0.178,19.4121,13.3917,21.3661,0.9348,44.9019,42.5248,0.6814,69.4945,68.9097,67.2623
KO,trend_follower,2025-12-23,68.9477,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,46.4768,0.0036,0.1432,19.583,13.1096,20.4209,0.9082,46.3173,44.3987,0.5471,69.4424,68.9112,67.2791
KO,trend_follower,2025-12-24,69.1845,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,48.5171,-0.0129,0.1119,19.7417,12.6752,19.7443,0.8722,49.6445,46.9546,0.271,69.4179,68.9219,67.2981
KO,trend_follower,2025-12-26,68.9477,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,46.6039,-0.0445,0.0806,19.9189,12.218,19.1999,0.8402,45.7383,47.2334,0.3491,69.3731,68.9229,67.3145
KO,trend_follower,2025-12-29,69.2339,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,49.2101,-0.046,0.0553,19.4762,13.8535,18.2596,0.8204,49.6707,48.3512,0.5881,69.3598,68.9351,67.3336
KO,trend_follower,2025-12-30,69.1451,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,48.4202,-0.0537,0.0335,19.1526,13.3116,17.9899,0.7928,49.1436,48.1842,0.5321,69.3394,68.9433,67.3516
KO,trend_follower,2025-12-31,68.9872,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,46.9767,-0.0717,0.0125,18.8521,12.964,17.5201,0.7559,49.6706,49.495,0.5211,69.3058,68.9451,67.3679
KO,trend_follower,2026-01-02,68.2076,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,40.5487,-0.1472,-0.0195,19.9624,11.8567,24.2895,0.7675,33.6148,44.143,0.7914,69.2012,68.9161,67.3762
KO,trend_follower,2026-01-05,67.0432,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,33.2337,-0.2975,-0.0751,22.0469,10.5988,31.0844,0.7972,16.9467,33.4107,1.3645,68.9957,68.8427,67.3729
KO,trend_follower,2026-01-06,66.9445,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,32.6953,-0.4198,-0.144,24.2372,9.9721,32.2028,0.7868,4.4366,18.3327,1.3237,68.8004,68.7683,67.3687
KO,trend_follower,2026-01-07,66.6485,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),downtrend,,31.0695,-0.5345,-0.2221,26.5014,9.2576,32.7614,0.787,4.9081,8.7638,1.2638,68.5954,68.6851,67.3615
KO,trend_follower,2026-01-08,68.4543,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),mix,,48.0427,-0.4741,-0.2725,25.9096,18.9841,27.4413,0.8725,24.5421,11.2956,1.1792,68.582,68.6761,67.3724
KO,trend_follower,2026-01-09,69.5793,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,55.4088,-0.3317,-0.2844,24.3081,25.948,24.199,0.9187,53.1531,27.5344,1.2425,68.677,68.7115,67.3943
KO,trend_follower,2026-01-12,69.5694,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,55.3347,-0.2171,-0.2709,23.1559,26.8877,22.8224,0.9045,79.7864,52.4938,1.3128,68.7619,68.7451,67.416
KO,trend_follower,2026-01-13,70.2996,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,59.6369,-0.0667,-0.2301,22.372,26.959,21.1044,0.9083,93.2896,75.4097,1.1692,68.9084,68.8061,67.4447
KO,trend_follower,2026-01-14,70.497,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,60.7376,0.0678,-0.1705,22.118,28.7262,19.6281,0.9068,93.7388,88.9382,1.0746,69.0597,68.8724,67.475
KO,trend_follower,2026-01-15,69.5497,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,53.2334,0.0967,-0.1171,21.2814,26.0447,21.135,0.9288,88.7388,91.9224,0.9989,69.1064,68.899,67.4957
KO,trend_follower,2026-01-16,69.5102,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,52.9399,0.1152,-0.0706,20.0782,24.6353,22.5425,0.9118,79.2043,87.2273,1.2676,69.1448,68.9229,67.5157
KO,trend_follower,2026-01-20,70.8029,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,60.6012,0.2314,-0.0102,20.0194,28.5618,19.3386,0.9869,81.0096,82.9842,1.3733,69.3027,68.9967,67.5484
KO,trend_follower,2026-01-21,71.0595,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,61.926,0.3403,0.0599,20.3615,28.9592,17.4465,1.0158,88.7012,82.9717,1.4095,69.47,69.0776,67.5834
KO,trend_follower,2026-01-22,70.9213,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,60.7416,0.4108,0.1301,20.6791,27.7165,16.6978,0.9855,95.7542,88.4883,0.9052,69.6083,69.1499,67.6166
KO,trend_follower,2026-01-23,71.918,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,65.8205,0.5408,0.2122,21.7814,32.3804,15.1993,1.0054,94.9396,93.1317,1.1538,69.8282,69.2584,67.6594
KO,trend_follower,2026-01-26,71.6022,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,63.0379,0.6113,0.292,22.9723,32.337,14.3745,0.9871,92.3915,94.3618,0.8578,69.9972,69.3503,67.6986
KO,trend_follower,2026-01-27,72.5791,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,67.6013,0.7375,0.3811,23.6572,29.4187,14.9662,1.0075,94.8201,94.0504,0.7919,70.2431,69.4769,67.7472
KO,trend_follower,2026-01-28,72.0956,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),range,,63.4273,0.7894,0.4628,24.3418,27.681,13.8691,1.0096,92.8309,93.3475,0.8626,70.4195,69.5796,67.7904
KO,trend_follower,2026-01-29,72.4607,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),uptrend,,65.1758,0.8502,0.5403,25.3513,28.9712,12.8722,1.0101,92.4951,93.382,1.1868,70.6139,69.6926,67.8369
KO,trend_follower,2026-01-30,73.8225,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),uptrend,,70.7859,0.9968,0.6316,26.8468,31.5708,11.5916,1.0415,91.9609,92.429,1.4287,70.9195,69.8546,67.8965
KO,trend_follower,2026-02-02,74.3356,hold,False,True,False,,,,,Máximo pivote descendente (reversión de estructura),uptrend,,72.5786,1.1412,0.7335,28.692,34.1643,10.5884,1.0588,92.8995,92.4518,1.024,71.2448,70.0303,67.9605
